VALS	VAL_NUMBER	TYPE
AGE 	 	[ 26.0 ...  62 values... 92.0 ]	 CONTINUOUS
SEX 	 [0, 1] 	 2 	 BINARY
INF_ANAM 	 [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0] 	 7 	 ORDINAL
STENOK_AN 	 [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0] 	 7 	 ORDINAL
FK_STENOK 	 [0.0, 1.0, 2.0, 3.0, 4.0, 8.0] 	 6 	 ORDINAL
IBS_POST 	 [0.0, 1.0, 2.0] 	 3 	 ORDINAL
GB 	 [0.0, 1.0, 2.0, 3.0] 	 4 	 ORDINAL
SIM_GIPERT 	 [0.0, 1.0] 	 2 	 BINARY
DLIT_AG 	 [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 10.0] 	 9 	 ORDINAL
ZSN_A 	 [0.0, 1.0, 2.0, 3.0, 4.0] 	 5 	 ORDINAL
nr_11 	 [0.0, 1.0] 	 2 	 BINARY
nr_01 	 [0.0, 1.0] 	 2 	 BINARY
nr_02 	 [0.0, 1.0] 	 2 	 BINARY
nr_03 	 [0.0, 1.0] 	 2 	 BINARY
nr_04 	 [0.0, 1.0] 	 2 	 BINARY
nr_07 	 [0.0, 1.0] 	 2 	 BINARY
nr_08 	 [0.0, 1.0] 	 2 	 BINARY
np_01 	 [0.0, 1.0] 	 2 	 BINARY
np_04 	 [0.0, 1.0] 	 2 	 BINARY
np_05 	 [0.0, 1.0] 	 2 	 BINARY
np_07 	 [0.0, 1.0] 	 2 	 BINARY
np_08 	 [0.0, 1.0] 	 2 	 BINARY
np_09 	 [0.0, 1.0] 	 2 	 BINARY
np_10 	 [0.0, 1.0] 	 2 	 BINARY
endocr_01 	 [0.0, 1.0] 	 2 	 BINARY
endocr_02 	 [0.0, 1.0] 	 2 	 BINARY
endocr_03 	 [0.0, 1.0] 	 2 	 BINARY
zab_leg_01 	 [0.0, 1.0] 	 2 	 BINARY
zab_leg_02 	 [0.0, 1.0] 	 2 	 BINARY
zab_leg_03 	 [0.0, 1.0] 	 2 	 BINARY
zab_leg_04 	 [0.0, 1.0] 	 2 	 BINARY
zab_leg_06 	 [0.0, 1.0] 	 2 	 BINARY
S_AD_ORIT 	 	[ 0.0 ...  32 values... 240.0 ]	 CONTINUOUS
D_AD_ORIT 	 	[ 0.0 ...  20 values... 190.0 ]	 CONTINUOUS
O_L_POST 	 [0.0, 1.0] 	 2 	 BINARY
K_SH_POST 	 [0.0, 1.0] 	 2 	 BINARY
MP_TP_POST 	 [0.0, 1.0] 	 2 	 BINARY
SVT_POST 	 [0.0, 1.0] 	 2 	 BINARY
GT_POST 	 [0.0, 1.0] 	 2 	 BINARY
FIB_G_POST 	 [0.0, 1.0] 	 2 	 BINARY
